Plot Title: miniDOT-Benthic-St33							
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Temperature)"	"Intensity, Lux (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Light Intensity)"	Coupler Attached (LGR S/N: 10517221)	Host Connected (LGR S/N: 10517221)	Stopped (LGR S/N: 10517221)	End Of File (LGR S/N: 10517221)
423	6/22/2018 2:00	10.455	0				
424	6/22/2018 2:30	10.357	0				
425	6/22/2018 3:00	10.259	10.8				
426	6/22/2018 3:30	10.259	32.3				
427	6/22/2018 4:00	10.259	10.8				
428	6/22/2018 4:30	10.259	32.3				
429	6/22/2018 5:00	10.259	129.2				
430	6/22/2018 5:30	10.259	139.9				
431	6/22/2018 6:00	10.259	183				
432	6/22/2018 6:30	10.259	139.9				
433	6/22/2018 7:00	10.259	366				
434	6/22/2018 7:30	10.357	247.6				
435	6/22/2018 8:00	10.455	1033.3				
436	6/22/2018 8:30	10.553	1463.9				
437	6/22/2018 9:00	10.553	1377.8				
438	6/22/2018 9:30	10.651	1550				
439	6/22/2018 10:00	10.651	1808.3				
440	6/22/2018 10:30	10.651	2927.8				
441	6/22/2018 11:00	10.846	4133.4				
442	6/22/2018 11:30	10.944	3788.9				
443	6/22/2018 12:00	11.041	4305.6				
444	6/22/2018 12:30	11.334	4305.6				
445	6/22/2018 13:00	11.334	3616.7				
446	6/22/2018 13:30	11.431	3788.9				
447	6/22/2018 14:00	11.528	3961.1				
448	6/22/2018 14:30	11.625	3961.1				
449	6/22/2018 15:00	11.722	3961.1				
450	6/22/2018 15:30	11.722	3961.1				
451	6/22/2018 16:00	11.819	3616.7				
452	6/22/2018 16:30	11.916	3272.2				
453	6/22/2018 17:00	11.916	1636.1				
454	6/22/2018 17:30	11.916	2755.6				
455	6/22/2018 18:00	11.916	2497.2				
456	6/22/2018 18:30	11.916	1808.3				
457	6/22/2018 19:00	11.916	1722.2				
458	6/22/2018 19:30	11.819	1216.3				
459	6/22/2018 20:00	11.916	1205.6				
460	6/22/2018 20:30	11.916	538.2				
461	6/22/2018 21:00	11.916	247.6				
462	6/22/2018 21:30	11.819	193.8				
463	6/22/2018 22:00	11.819	204.5				
464	6/22/2018 22:30	11.819	204.5				
465	6/22/2018 23:00	11.819	129.2				
466	6/22/2018 23:30	11.819	86.1				
467	6/23/2018 0:00	11.722	43.1				
468	6/23/2018 0:30	11.722	21.5				
469	6/23/2018 1:00	11.722	10.8				
470	6/23/2018 1:30	11.722	21.5				
471	6/23/2018 2:00	11.625	21.5				
472	6/23/2018 2:30	11.625	32.3				
473	6/23/2018 3:00	11.625	64.6				
474	6/23/2018 3:30	11.625	150.7				
475	6/23/2018 4:00	11.625	204.5				
476	6/23/2018 4:30	11.625	398.3				
477	6/23/2018 5:00	11.528	516.7				
478	6/23/2018 5:30	11.625	828.8				
479	6/23/2018 6:00	11.528	1184				
480	6/23/2018 6:30	11.528	1463.9				
481	6/23/2018 7:00	11.528	1894.5				
482	6/23/2018 7:30	11.528	2411.1				
483	6/23/2018 8:00	11.625	2755.6				
484	6/23/2018 8:30	11.625	3444.5				
485	6/23/2018 9:00	11.722	4133.4				
486	6/23/2018 9:30	11.819	4477.8				
487	6/23/2018 10:00	11.819	3100				
488	6/23/2018 10:30	11.722	2755.6				
489	6/23/2018 11:00	11.819	3616.7				
490	6/23/2018 11:30	11.722	2927.8				
491	6/23/2018 12:00	11.722	2411.1				
492	6/23/2018 12:30	11.722	2411.1				
493	6/23/2018 13:00	11.916	3961.1				
494	6/23/2018 13:30	11.819	2927.8				
495	6/23/2018 14:00	11.722	1980.6				
496	6/23/2018 14:30	11.722	1054.9				
497	6/23/2018 15:00	11.916	1894.5				
498	6/23/2018 15:30	11.916	1550				
499	6/23/2018 16:00	11.916	1313.2				
500	6/23/2018 16:30	11.916	1022.6				
501	6/23/2018 17:00	11.916	807.3				
502	6/23/2018 17:30	11.916	904.2				
503	6/23/2018 18:00	11.916	710.4				
504	6/23/2018 18:30	12.013	925.7				
505	6/23/2018 19:00	12.013	753.5				
506	6/23/2018 19:30	11.916	527.4				
507	6/23/2018 20:00	12.013	861.1				
508	6/23/2018 20:30	12.013	1377.8				
509	6/23/2018 21:00	12.013	290.6				
510	6/23/2018 21:30	12.013	409				
511	6/23/2018 22:00	12.013	279.9				
512	6/23/2018 22:30	12.013	172.2				
513	6/23/2018 23:00	12.013	64.6				
514	6/23/2018 23:30	11.916	43.1				
515	6/24/2018 0:00	11.916	21.5				
516	6/24/2018 0:30	11.916	21.5				
517	6/24/2018 1:00	11.916	10.8				
518	6/24/2018 1:30	11.916	10.8				
519	6/24/2018 2:00	11.916	21.5				
520	6/24/2018 2:30	11.916	32.3				
521	6/24/2018 3:00	11.819	64.6				
522	6/24/2018 3:30	11.819	75.3				
523	6/24/2018 4:00	11.819	139.9				
524	6/24/2018 4:30	11.819	247.6				
525	6/24/2018 5:00	11.819	312.2				
526	6/24/2018 5:30	11.819	419.8				
