"Plot Title: MD_e5_5Jun2021"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)","Coupler Attached (LGR S/N: 10517223)","Host Connected (LGR S/N: 10517223)","Coupler Detached (LGR S/N: 10517223)","Bad Battery (LGR S/N: 10517223)","Stopped (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
317,06/18/21 17:30:00,8.082,4650.0,,,,,,
318,06/18/21 18:30:00,7.983,4994.5,,,,,,
319,06/18/21 19:30:00,7.882,1377.8,,,,,,
320,06/18/21 20:30:00,7.782,559.7,,,,,,
321,06/18/21 21:30:00,7.782,1248.6,,,,,,
322,06/18/21 22:30:00,7.782,376.7,,,,,,
323,06/18/21 23:30:00,7.682,75.3,,,,,,
324,06/19/21 00:30:00,7.682,21.5,,,,,,
325,06/19/21 01:30:00,7.582,21.5,,,,,,
326,06/19/21 02:30:00,7.481,75.3,,,,,,
327,06/19/21 03:30:00,7.481,344.4,,,,,,
328,06/19/21 04:30:00,7.381,721.2,,,,,,
329,06/19/21 05:30:00,7.582,1119.5,,,,,,
330,06/19/21 06:30:00,7.381,2325.0,,,,,,
331,06/19/21 07:30:00,7.381,4822.3,,,,,,
332,06/19/21 08:30:00,7.582,6200.0,,,,,,
333,06/19/21 09:30:00,7.682,8611.2,,,,,,
334,06/19/21 10:30:00,8.082,15155.7,,,,,,
335,06/19/21 11:30:00,8.382,17222.3,,,,,,
336,06/19/21 12:30:00,8.581,13089.0,,,,,,
337,06/19/21 13:30:00,8.680,14466.8,,,,,,
338,06/19/21 14:30:00,8.879,11711.2,,,,,,
339,06/19/21 15:30:00,8.382,1894.5,,,,,,
340,06/19/21 16:30:00,8.382,2238.9,,,,,,
341,06/19/21 17:30:00,8.481,5166.7,,,,,,
342,06/19/21 18:30:00,8.282,1377.8,,,,,,
343,06/19/21 19:30:00,8.282,1980.6,,,,,,
344,06/19/21 20:30:00,8.282,624.3,,,,,,
345,06/19/21 21:30:00,8.382,1808.3,,,,,,
346,06/19/21 22:30:00,8.282,484.4,,,,,,
347,06/19/21 23:30:00,8.282,172.2,,,,,,
348,06/20/21 00:30:00,8.182,64.6,,,,,,
349,06/20/21 01:30:00,8.082,75.3,,,,,,
350,06/20/21 02:30:00,7.983,172.2,,,,,,
351,06/20/21 03:30:00,7.882,204.5,,,,,,
352,06/20/21 04:30:00,7.983,559.7,,,,,,
353,06/20/21 05:30:00,7.983,2497.2,,,,,,
