"Plot Title: sonde_May21"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10724105, SEN S/N: 10724105)","Intensity, Lux (LGR S/N: 10724105, SEN S/N: 10724105)","Coupler Detached (LGR S/N: 10724105)","Coupler Attached (LGR S/N: 10724105)","Host Connected (LGR S/N: 10724105)","Stopped (LGR S/N: 10724105)","End Of File (LGR S/N: 10724105)"
252,05/22/21 08:56:06 PM,4.519,14466.8,,,,,
253,05/22/21 09:26:06 PM,3.893,6544.5,,,,,
254,05/22/21 09:56:06 PM,3.578,7577.8,,,,,
255,05/22/21 10:26:06 PM,3.261,2755.6,,,,,
256,05/22/21 10:56:06 PM,3.049,1334.7,,,,,
257,05/22/21 11:26:06 PM,3.261,226.0,,,,,
258,05/22/21 11:56:06 PM,3.049,64.6,,,,,
259,05/23/21 12:26:06 AM,3.578,0.0,,,,,
260,05/23/21 12:56:06 AM,3.155,0.0,,,,,
261,05/23/21 01:26:06 AM,3.472,10.8,,,,,
262,05/23/21 01:56:06 AM,3.261,32.3,,,,,
263,05/23/21 02:26:06 AM,3.155,53.8,,,,,
264,05/23/21 02:56:06 AM,3.155,161.5,,,,,
265,05/23/21 03:26:06 AM,3.261,419.8,,,,,
266,05/23/21 03:56:06 AM,2.943,538.2,,,,,
267,05/23/21 04:26:06 AM,2.943,914.9,,,,,
268,05/23/21 04:56:06 AM,3.049,4133.4,,,,,
269,05/23/21 05:26:06 AM,3.788,9644.5,,,,,
270,05/23/21 05:56:06 AM,3.683,7577.8,,,,,
271,05/23/21 06:26:06 AM,3.998,13089.0,,,,,
272,05/23/21 06:56:06 AM,4.311,22044.6,,,,,
273,05/23/21 07:26:06 AM,3.998,15155.7,,,,,
274,05/23/21 07:56:06 AM,4.207,17222.3,,,,,
275,05/23/21 08:26:06 AM,4.311,18600.1,,,,,
276,05/23/21 08:56:06 AM,5.141,49600.3,,,,,
277,05/23/21 09:26:06 AM,5.141,35822.5,,,,,
278,05/23/21 09:56:06 AM,5.655,52355.9,,,,,
279,05/23/21 10:26:06 AM,5.244,37200.2,,,,,
280,05/23/21 10:56:06 AM,4.831,30311.3,,,,,
281,05/23/21 11:26:06 AM,4.727,33066.9,,,,,
282,05/23/21 11:56:06 AM,8.082,79911.6,,,,,
283,05/23/21 12:26:06 PM,4.623,28933.5,,,,,
284,05/23/21 12:56:06 PM,5.141,34444.7,,,,,
285,05/23/21 01:26:06 PM,4.623,20666.8,,,,,
286,05/23/21 01:56:06 PM,4.207,16533.4,,,,,
287,05/23/21 02:26:06 PM,6.268,68889.3,,,,,
288,05/23/21 02:56:06 PM,4.519,26178.0,,,,,
289,05/23/21 03:26:06 PM,5.347,52355.9,,,,,
290,05/23/21 03:56:06 PM,4.831,28933.5,,,,,
291,05/23/21 04:26:06 PM,4.415,18600.1,,,,,
292,05/23/21 04:56:06 PM,4.311,17911.2,,,,,
293,05/23/21 05:26:06 PM,4.519,21355.7,,,,,
