"Plot Title: MD_Reyk_B_16Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)","Bad Battery (LGR S/N: 10517223)","Coupler Attached (LGR S/N: 10517223)","Host Connected (LGR S/N: 10517223)","Stopped (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
370,06/24/19 03:30:00,12.787,0.0,,,,,
371,06/24/19 04:00:00,12.883,10.8,,,,,
372,06/24/19 04:30:00,12.980,10.8,,,,,
373,06/24/19 05:00:00,13.076,0.0,,,,,
374,06/24/19 05:30:00,12.980,10.8,,,,,
375,06/24/19 06:00:00,12.883,10.8,,,,,
376,06/24/19 06:30:00,12.883,150.7,,,,,
377,06/24/19 07:00:00,12.787,43.1,,,,,
378,06/24/19 07:30:00,12.883,96.9,,,,,
379,06/24/19 08:00:00,12.690,139.9,,,,,
380,06/24/19 08:30:00,12.690,53.8,,,,,
381,06/24/19 09:00:00,12.690,64.6,,,,,
382,06/24/19 09:30:00,12.690,172.2,,,,,
383,06/24/19 10:00:00,12.690,107.6,,,,,
384,06/24/19 10:30:00,12.787,183.0,,,,,
385,06/24/19 11:00:00,12.690,215.3,,,,,
386,06/24/19 11:30:00,12.787,355.2,,,,,
387,06/24/19 12:00:00,12.883,344.4,,,,,
388,06/24/19 12:30:00,12.883,258.3,,,,,
389,06/24/19 13:00:00,12.980,247.6,,,,,
390,06/24/19 13:30:00,12.980,236.8,,,,,
391,06/24/19 14:00:00,13.076,279.9,,,,,
392,06/24/19 14:30:00,13.076,204.5,,,,,
393,06/24/19 15:00:00,13.173,247.6,,,,,
394,06/24/19 15:30:00,13.269,258.3,,,,,
395,06/24/19 16:00:00,13.269,193.8,,,,,
396,06/24/19 16:30:00,13.173,161.5,,,,,
397,06/24/19 17:00:00,13.269,172.2,,,,,
398,06/24/19 17:30:00,13.269,96.9,,,,,
399,06/24/19 18:00:00,13.365,86.1,,,,,
400,06/24/19 18:30:00,13.269,118.4,,,,,
401,06/24/19 19:00:00,13.461,75.3,,,,,
402,06/24/19 19:30:00,13.365,21.5,,,,,
403,06/24/19 20:00:00,13.461,43.1,,,,,
404,06/24/19 20:30:00,13.461,75.3,,,,,
405,06/24/19 21:00:00,13.461,0.0,,,,,
406,06/24/19 21:30:00,13.365,0.0,,,,,
407,06/24/19 22:00:00,13.558,0.0,,,,,
408,06/24/19 22:30:00,13.558,0.0,,,,,
409,06/24/19 23:00:00,13.461,0.0,,,,,
410,06/24/19 23:30:00,13.558,0.0,,,,,
411,06/25/19 00:00:00,13.558,0.0,,,,,
412,06/25/19 00:30:00,13.558,0.0,,,,,
