"Plot Title: 10517223"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: testT)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: testL)","Coupler Detached (LGR S/N: 10517223)","End Of File (LGR S/N: 10517223)"
374,06/16/14 04:30:00,13.269,4305.6,,
375,06/16/14 05:00:00,13.365,5166.7,,
376,06/16/14 05:30:00,13.558,11711.2,,
377,06/16/14 06:00:00,17.475,42711.4,,
378,06/16/14 06:30:00,15.091,26178.0,,
379,06/16/14 07:00:00,14.325,15844.5,,
380,06/16/14 07:30:00,14.325,16533.4,,
381,06/16/14 08:00:00,14.325,11711.2,,
382,06/16/14 08:30:00,14.038,12400.1,,
383,06/16/14 09:00:00,19.282,57867.0,,
384,06/16/14 09:30:00,21.378,68889.3,,
385,06/16/14 10:00:00,20.138,38578.0,,
386,06/16/14 10:30:00,19.472,49600.3,,
387,06/16/14 11:00:00,19.092,44089.2,,
388,06/16/14 11:30:00,17.570,24800.2,,
389,06/16/14 12:00:00,16.999,31689.1,,
390,06/16/14 12:30:00,17.475,41333.6,,
391,06/16/14 13:00:00,17.665,34444.7,,
392,06/16/14 13:30:00,18.426,44089.2,,
393,06/16/14 14:00:00,20.424,46844.8,,
394,06/16/14 14:30:00,29.552,63378.2,,
395,06/16/14 15:00:00,29.252,57867.0,,
396,06/16/14 15:30:00,30.862,63378.2,,
397,06/16/14 16:00:00,26.977,21355.7,,
398,06/16/14 16:30:00,23.004,37200.2,,
399,06/16/14 17:00:00,19.092,34444.7,,
400,06/16/14 17:30:00,17.379,16533.4,,
401,06/16/14 18:00:00,17.189,21355.7,,
402,06/16/14 18:30:00,16.713,22044.6,,
403,06/16/14 19:00:00,16.237,17911.2,,
404,06/16/14 19:30:00,16.332,17911.2,,
405,06/16/14 20:00:00,15.760,10333.4,,
406,06/16/14 20:30:00,15.855,17222.3,,
407,06/16/14 21:00:00,16.427,9644.5,,
408,06/16/14 21:30:00,16.999,16533.4,,
409,06/16/14 22:00:00,16.332,5166.7,,
410,06/16/14 22:30:00,14.996,6544.5,,
411,06/16/14 23:00:00,15.091,9644.5,,
412,06/16/14 23:30:00,12.980,9644.5,,
413,06/17/14 00:00:00,12.207,1722.2,,
414,06/17/14 00:30:00,11.819,775.0,,
415,06/17/14 01:00:00,11.722,828.8,,
416,06/17/14 01:30:00,11.236,785.8,,
417,06/17/14 02:00:00,11.041,1119.5,,
418,06/17/14 02:30:00,10.846,1356.3,,
419,06/17/14 03:00:00,11.916,7233.4,,
420,06/17/14 03:30:00,12.497,6544.5,,
421,06/17/14 04:00:00,14.325,15155.7,,
422,06/17/14 04:30:00,15.664,16533.4,,
423,06/17/14 05:00:00,15.951,26178.0,,
424,06/17/14 05:30:00,15.951,18600.1,,
425,06/17/14 06:00:00,15.664,16533.4,,
426,06/17/14 06:30:00,17.855,33066.9,,
427,06/17/14 07:00:00,19.187,42711.4,,
428,06/17/14 07:30:00,17.379,17222.3,,
429,06/17/14 08:00:00,16.046,17222.3,,
430,06/17/14 08:30:00,20.043,143289.8,,
431,06/17/14 09:00:00,22.142,104711.8,,
432,06/17/14 09:30:00,24.062,77156.1,,
433,06/17/14 10:00:00,29.953,99200.7,,
434,06/17/14 10:30:00,35.009,104711.8,,
435,06/17/14 11:00:00,35.328,110223.0,,
436,06/17/14 11:30:00,36.511,115734.1,,
