"Plot Title: MD_st33_frame_3Aug20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Temp)","Intensity, Lux (LGR S/N: 10517215, SEN S/N: 10517215, LBL: Light)","Host Connected (LGR S/N: 10517215)","Coupler Attached (LGR S/N: 10517215)","Stopped (LGR S/N: 10517215)","End Of File (LGR S/N: 10517215)"
311,09/28/20 20:00:00,4.102,0.0,,,,
312,09/28/20 22:00:00,4.102,0.0,,,,
313,09/29/20 00:00:00,3.998,0.0,,,,
314,09/29/20 02:00:00,3.893,0.0,,,,
315,09/29/20 04:00:00,3.893,0.0,,,,
316,09/29/20 06:00:00,3.893,0.0,,,,
317,09/29/20 08:00:00,3.788,21.5,,,,
318,09/29/20 10:00:00,3.788,129.2,,,,
319,09/29/20 12:00:00,3.788,279.9,,,,
320,09/29/20 14:00:00,3.893,269.1,,,,
321,09/29/20 16:00:00,3.893,86.1,,,,
322,09/29/20 18:00:00,3.893,0.0,,,,
323,09/29/20 20:00:00,3.893,0.0,,,,
324,09/29/20 22:00:00,3.893,0.0,,,,
325,09/30/20 00:00:00,3.893,0.0,,,,
326,09/30/20 02:00:00,3.893,0.0,,,,
327,09/30/20 04:00:00,3.893,0.0,,,,
328,09/30/20 06:00:00,3.998,0.0,,,,
329,09/30/20 08:00:00,3.893,0.0,,,,
330,09/30/20 10:00:00,3.893,10.8,,,,
331,09/30/20 12:00:00,3.893,21.5,,,,
332,09/30/20 14:00:00,3.893,43.1,,,,
333,09/30/20 16:00:00,3.998,21.5,,,,
334,09/30/20 18:00:00,3.998,0.0,,,,
335,09/30/20 20:00:00,3.998,0.0,,,,
336,09/30/20 22:00:00,3.998,0.0,,,,
337,10/01/20 00:00:00,3.998,0.0,,,,
338,10/01/20 02:00:00,3.998,0.0,,,,
339,10/01/20 04:00:00,3.998,0.0,,,,
340,10/01/20 06:00:00,3.893,0.0,,,,
341,10/01/20 08:00:00,3.788,0.0,,,,
342,10/01/20 10:00:00,3.788,107.6,,,,
343,10/01/20 12:00:00,3.788,215.3,,,,
344,10/01/20 14:00:00,3.893,161.5,,,,
345,10/01/20 16:00:00,3.998,86.1,,,,
346,10/01/20 18:00:00,3.998,0.0,,,,
347,10/01/20 20:00:00,3.893,0.0,,,,
348,10/01/20 22:00:00,3.893,0.0,,,,
349,10/02/20 00:00:00,3.788,0.0,,,,
350,10/02/20 02:00:00,3.788,0.0,,,,
351,10/02/20 04:00:00,3.683,0.0,,,,
352,10/02/20 06:00:00,3.578,0.0,,,,
353,10/02/20 08:00:00,3.578,10.8,,,,
354,10/02/20 10:00:00,3.578,172.2,,,,
355,10/02/20 12:00:00,3.578,258.3,,,,
356,10/02/20 14:00:00,3.683,193.8,,,,
357,10/02/20 16:00:00,3.788,193.8,,,,
358,10/02/20 18:00:00,3.788,10.8,,,,
359,10/02/20 20:00:00,3.788,0.0,,,,
360,10/02/20 22:00:00,3.788,0.0,,,,
361,10/03/20 00:00:00,3.788,0.0,,,,
362,10/03/20 02:00:00,3.788,0.0,,,,
363,10/03/20 04:00:00,3.683,0.0,,,,
364,10/03/20 06:00:00,3.578,0.0,,,,
365,10/03/20 08:00:00,3.578,10.8,,,,
366,10/03/20 10:00:00,3.578,215.3,,,,
367,10/03/20 12:00:00,3.683,409.0,,,,
368,10/03/20 14:00:00,3.578,193.8,,,,
369,10/03/20 16:00:00,3.472,86.1,,,,
370,10/03/20 18:00:00,3.683,0.0,,,,
371,10/03/20 20:00:00,3.472,0.0,,,,
372,10/03/20 22:00:00,3.578,0.0,,,,
373,10/04/20 00:00:00,3.578,0.0,,,,
374,10/04/20 02:00:00,3.472,0.0,,,,
375,10/04/20 04:00:00,3.472,0.0,,,,
376,10/04/20 06:00:00,3.472,0.0,,,,
377,10/04/20 08:00:00,3.472,0.0,,,,
378,10/04/20 10:00:00,3.578,290.6,,,,
379,10/04/20 12:00:00,3.578,624.3,,,,
380,10/04/20 14:00:00,3.578,344.4,,,,
381,10/04/20 16:00:00,3.683,452.1,,,,
382,10/04/20 18:00:00,3.788,21.5,,,,
383,10/04/20 20:00:00,3.788,0.0,,,,
384,10/04/20 22:00:00,3.683,0.0,,,,
385,10/05/20 00:00:00,3.683,0.0,,,,
386,10/05/20 02:00:00,3.683,0.0,,,,
387,10/05/20 04:00:00,3.788,0.0,,,,
388,10/05/20 06:00:00,3.683,0.0,,,,
389,10/05/20 08:00:00,3.683,0.0,,,,
390,10/05/20 10:00:00,3.683,96.9,,,,
391,10/05/20 12:00:00,3.683,150.7,,,,
392,10/05/20 14:00:00,3.683,107.6,,,,
393,10/05/20 16:00:00,3.788,64.6,,,,
394,10/05/20 18:00:00,3.683,0.0,,,,
395,10/05/20 20:00:00,3.683,0.0,,,,
396,10/05/20 22:00:00,3.578,0.0,,,,
397,10/06/20 00:00:00,3.578,0.0,,,,
398,10/06/20 02:00:00,3.578,0.0,,,,
399,10/06/20 04:00:00,3.578,0.0,,,,
400,10/06/20 06:00:00,3.578,0.0,,,,
401,10/06/20 08:00:00,3.578,0.0,,,,
402,10/06/20 10:00:00,3.578,86.1,,,,
403,10/06/20 12:00:00,3.683,473.6,,,,
404,10/06/20 14:00:00,3.683,193.8,,,,
405,10/06/20 16:00:00,3.683,118.4,,,,
406,10/06/20 18:00:00,3.788,0.0,,,,
407,10/06/20 20:00:00,3.788,0.0,,,,
408,10/06/20 22:00:00,3.788,0.0,,,,
409,10/07/20 00:00:00,3.788,0.0,,,,
410,10/07/20 02:00:00,3.788,0.0,,,,
411,10/07/20 04:00:00,3.788,0.0,,,,
412,10/07/20 06:00:00,3.683,0.0,,,,
413,10/07/20 08:00:00,3.683,0.0,,,,
414,10/07/20 10:00:00,3.683,32.3,,,,
415,10/07/20 12:00:00,3.788,53.8,,,,
416,10/07/20 14:00:00,3.788,75.3,,,,
417,10/07/20 16:00:00,3.788,10.8,,,,
418,10/07/20 18:00:00,3.788,0.0,,,,
419,10/07/20 20:00:00,3.893,0.0,,,,
420,10/07/20 22:00:00,3.893,0.0,,,,
421,10/08/20 00:00:00,3.893,0.0,,,,
422,10/08/20 02:00:00,3.893,0.0,,,,
423,10/08/20 04:00:00,3.893,0.0,,,,
