"Plot Title: E2 pelagic"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)","Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)","Good Battery (LGR S/N: 10349970)","Coupler Attached (LGR S/N: 10349970)","Coupler Detached (LGR S/N: 10349970)","Host Connected (LGR S/N: 10349970)","Stopped (LGR S/N: 10349970)","End Of File (LGR S/N: 10349970)"
211,08/01/20 21:00:00,11.431,602.8,,,,,,
212,08/01/20 21:30:00,11.431,344.4,,,,,,
213,08/01/20 22:00:00,11.334,96.9,,,,,,
214,08/01/20 22:30:00,11.334,10.8,,,,,,
215,08/01/20 23:00:00,11.334,0.0,,,,,,
216,08/01/20 23:30:00,11.334,0.0,,,,,,
217,08/02/20 00:00:00,11.334,0.0,,,,,,
218,08/02/20 00:30:00,11.431,0.0,,,,,,
219,08/02/20 01:00:00,11.431,0.0,,,,,,
220,08/02/20 01:30:00,11.431,0.0,,,,,,
221,08/02/20 02:00:00,11.431,0.0,,,,,,
222,08/02/20 02:30:00,11.431,0.0,,,,,,
223,08/02/20 03:00:00,11.334,0.0,,,,,,
224,08/02/20 03:30:00,11.334,0.0,,,,,,
225,08/02/20 04:00:00,11.334,53.8,,,,,,
226,08/02/20 04:30:00,11.334,64.6,,,,,,
227,08/02/20 05:00:00,11.334,344.4,,,,,,
228,08/02/20 05:30:00,11.334,775.0,,,,,,
229,08/02/20 06:00:00,11.334,1463.9,,,,,,
230,08/02/20 06:30:00,11.334,2066.7,,,,,,
231,08/02/20 07:00:00,11.334,1636.1,,,,,,
232,08/02/20 07:30:00,11.334,2583.4,,,,,,
233,08/02/20 08:00:00,11.431,3788.9,,,,,,
234,08/02/20 08:30:00,11.528,5511.1,,,,,,
235,08/02/20 09:00:00,11.625,7233.4,,,,,,
236,08/02/20 09:30:00,11.722,8611.2,,,,,,
237,08/02/20 10:00:00,11.819,7577.8,,,,,,
238,08/02/20 10:30:00,11.819,8266.7,,,,,,
239,08/02/20 11:00:00,11.819,10333.4,,,,,,
240,08/02/20 11:30:00,11.916,10333.4,,,,,,
241,08/02/20 12:00:00,11.916,8611.2,,,,,,
242,08/02/20 12:30:00,11.916,8266.7,,,,,,
243,08/02/20 13:00:00,12.013,8611.2,,,,,,
244,08/02/20 13:30:00,12.013,8266.7,,,,,,
245,08/02/20 14:00:00,11.916,8266.7,,,,,,
246,08/02/20 14:30:00,12.013,7233.4,,,,,,
247,08/02/20 15:00:00,11.916,4994.5,,,,,,
248,08/02/20 15:30:00,12.013,5511.1,,,,,,
249,08/02/20 16:00:00,12.013,6200.0,,,,,,
250,08/02/20 16:30:00,11.916,5166.7,,,,,,
251,08/02/20 17:00:00,11.916,4650.0,,,,,,
252,08/02/20 17:30:00,11.916,4305.6,,,,,,
253,08/02/20 18:00:00,11.819,2927.8,,,,,,
254,08/02/20 18:30:00,11.819,2066.7,,,,,,
255,08/02/20 19:00:00,11.722,1377.8,,,,,,
256,08/02/20 19:30:00,11.722,861.1,,,,,,
257,08/02/20 20:00:00,11.722,570.5,,,,,,
258,08/02/20 20:30:00,11.625,366.0,,,,,,
259,08/02/20 21:00:00,11.625,193.8,,,,,,
260,08/02/20 21:30:00,11.625,75.3,,,,,,
261,08/02/20 22:00:00,11.625,21.5,,,,,,
262,08/02/20 22:30:00,11.625,0.0,,,,,,
263,08/02/20 23:00:00,11.625,0.0,,,,,,
264,08/02/20 23:30:00,11.625,0.0,,,,,,
265,08/03/20 00:00:00,11.625,0.0,,,,,,
266,08/03/20 00:30:00,11.625,0.0,,,,,,
267,08/03/20 01:00:00,11.625,0.0,,,,,,
268,08/03/20 01:30:00,11.625,0.0,,,,,,
269,08/03/20 02:00:00,11.722,0.0,,,,,,
270,08/03/20 02:30:00,11.722,0.0,,,,,,
271,08/03/20 03:00:00,11.722,0.0,,,,,,
272,08/03/20 03:30:00,11.722,0.0,,,,,,
273,08/03/20 04:00:00,11.722,0.0,,,,,,
274,08/03/20 04:30:00,11.722,43.1,,,,,,
275,08/03/20 05:00:00,11.625,96.9,,,,,,
276,08/03/20 05:30:00,11.625,279.9,,,,,,
277,08/03/20 06:00:00,11.625,398.3,,,,,,
278,08/03/20 06:30:00,11.625,753.5,,,,,,
279,08/03/20 07:00:00,11.625,1162.5,,,,,,
280,08/03/20 07:30:00,11.625,1356.3,,,,,,
281,08/03/20 08:00:00,11.625,2497.2,,,,,,
282,08/03/20 08:30:00,11.625,2927.8,,,,,,
283,08/03/20 09:00:00,11.625,4305.6,,,,,,
284,08/03/20 09:30:00,11.722,5166.7,,,,,,
285,08/03/20 10:00:00,11.819,6544.5,,,,,,
286,08/03/20 10:30:00,11.819,6544.5,,,,,,
287,08/03/20 11:00:00,11.819,4822.3,,,,,,
288,08/03/20 11:30:00,11.819,3961.1,,,,,,
289,08/03/20 12:00:00,11.819,3616.7,,,,,,
290,08/03/20 12:30:00,11.819,4133.4,,,,,,
291,08/03/20 13:00:00,11.916,5511.1,,,,,,
292,08/03/20 13:30:00,11.916,5511.1,,,,,,
293,08/03/20 14:00:00,12.110,11711.2,,,,,,
294,08/03/20 14:30:00,12.013,8611.2,,,,,,
295,08/03/20 15:00:00,12.304,11711.2,,,,,,
296,08/03/20 15:30:00,12.304,5166.7,,,,,,
297,08/03/20 16:00:00,12.207,4994.5,,,,,,
298,08/03/20 16:30:00,12.401,9300.1,,,,,,
299,08/03/20 17:00:00,12.401,9300.1,,,,,,
300,08/03/20 17:30:00,12.304,6200.0,,,,,,
301,08/03/20 18:00:00,12.110,2927.8,,,,,,
302,08/03/20 18:30:00,12.013,1377.8,,,,,,
303,08/03/20 19:00:00,12.013,1980.6,,,,,,
304,08/03/20 19:30:00,12.013,1463.9,,,,,,
305,08/03/20 20:00:00,12.013,1302.4,,,,,,
306,08/03/20 20:30:00,12.013,850.4,,,,,,
307,08/03/20 21:00:00,12.013,452.1,,,,,,
308,08/03/20 21:30:00,12.013,258.3,,,,,,
309,08/03/20 22:00:00,12.013,43.1,,,,,,
310,08/03/20 22:30:00,11.916,0.0,,,,,,
311,08/03/20 23:00:00,11.916,0.0,,,,,,
312,08/03/20 23:30:00,11.916,0.0,,,,,,
313,08/04/20 00:00:00,11.916,0.0,,,,,,
314,08/04/20 00:30:00,11.916,0.0,,,,,,
315,08/04/20 01:00:00,11.916,0.0,,,,,,
316,08/04/20 01:30:00,11.916,0.0,,,,,,
317,08/04/20 02:00:00,11.916,0.0,,,,,,
318,08/04/20 02:30:00,11.916,0.0,,,,,,
319,08/04/20 03:00:00,11.916,0.0,,,,,,
320,08/04/20 03:30:00,11.916,0.0,,,,,,
321,08/04/20 04:00:00,11.916,0.0,,,,,,
322,08/04/20 04:30:00,11.916,43.1,,,,,,
323,08/04/20 05:00:00,11.916,129.2,,,,,,
324,08/04/20 05:30:00,11.916,409.0,,,,,,
325,08/04/20 06:00:00,11.916,667.4,,,,,,
326,08/04/20 06:30:00,11.916,1636.1,,,,,,
327,08/04/20 07:00:00,11.916,2669.5,,,,,,
328,08/04/20 07:30:00,11.916,2755.6,,,,,,
329,08/04/20 08:00:00,11.819,3272.2,,,,,,
330,08/04/20 08:30:00,11.819,4477.8,,,,,,
331,08/04/20 09:00:00,11.819,4133.4,,,,,,
332,08/04/20 09:30:00,11.819,4477.8,,,,,,
