"Plot Title: md_st33_benthic_13Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349961, SEN S/N: 10349961, LBL: Temperature)","Intensity, Lux (LGR S/N: 10349961, SEN S/N: 10349961, LBL: Light)","Coupler Attached (LGR S/N: 10349961)","Host Connected (LGR S/N: 10349961)","Stopped (LGR S/N: 10349961)","End Of File (LGR S/N: 10349961)"
271,06/19/19 05:00:00,10.748,258.3,,,,
272,06/19/19 05:30:00,10.651,312.2,,,,
273,06/19/19 06:00:00,10.651,409.0,,,,
274,06/19/19 06:30:00,10.651,1033.3,,,,
275,06/19/19 07:00:00,10.553,624.3,,,,
276,06/19/19 07:30:00,10.553,1367.0,,,,
277,06/19/19 08:00:00,10.651,2238.9,,,,
278,06/19/19 08:30:00,10.651,1550.0,,,,
279,06/19/19 09:00:00,10.748,2411.1,,,,
280,06/19/19 09:30:00,10.748,1808.3,,,,
281,06/19/19 10:00:00,10.748,1463.9,,,,
282,06/19/19 10:30:00,10.651,2411.1,,,,
283,06/19/19 11:00:00,10.651,3100.0,,,,
284,06/19/19 11:30:00,10.651,2927.8,,,,
285,06/19/19 12:00:00,10.651,2927.8,,,,
286,06/19/19 12:30:00,10.651,3444.5,,,,
287,06/19/19 13:00:00,10.651,3272.2,,,,
288,06/19/19 13:30:00,10.651,2583.4,,,,
289,06/19/19 14:00:00,10.651,2755.6,,,,
290,06/19/19 14:30:00,10.748,1722.2,,,,
291,06/19/19 15:00:00,10.846,1894.5,,,,
292,06/19/19 15:30:00,10.846,1550.0,,,,
293,06/19/19 16:00:00,10.846,2066.7,,,,
294,06/19/19 16:30:00,10.846,2755.6,,,,
295,06/19/19 17:00:00,10.944,3788.9,,,,
296,06/19/19 17:30:00,10.944,2755.6,,,,
297,06/19/19 18:00:00,10.846,2066.7,,,,
298,06/19/19 18:30:00,10.748,1194.8,,,,
299,06/19/19 19:00:00,10.846,1216.3,,,,
300,06/19/19 19:30:00,10.748,936.5,,,,
301,06/19/19 20:00:00,10.748,1130.2,,,,
302,06/19/19 20:30:00,10.651,678.1,,,,
303,06/19/19 21:00:00,10.651,979.5,,,,
304,06/19/19 21:30:00,10.553,861.1,,,,
305,06/19/19 22:00:00,10.553,387.5,,,,
306,06/19/19 22:30:00,10.455,193.8,,,,
307,06/19/19 23:00:00,10.357,118.4,,,,
308,06/19/19 23:30:00,10.357,118.4,,,,
309,06/20/19 00:00:00,10.357,75.3,,,,
310,06/20/19 00:30:00,10.259,21.5,,,,
311,06/20/19 01:00:00,10.259,0.0,,,,
312,06/20/19 01:30:00,10.259,0.0,,,,
313,06/20/19 02:00:00,10.161,0.0,,,,
314,06/20/19 02:30:00,10.161,0.0,,,,
315,06/20/19 03:00:00,10.161,10.8,,,,
316,06/20/19 03:30:00,10.161,53.8,,,,
317,06/20/19 04:00:00,10.161,107.6,,,,
318,06/20/19 04:30:00,10.063,75.3,,,,
319,06/20/19 05:00:00,10.063,139.9,,,,
320,06/20/19 05:30:00,10.063,204.5,,,,
321,06/20/19 06:00:00,10.063,258.3,,,,
322,06/20/19 06:30:00,10.063,312.2,,,,
323,06/20/19 07:00:00,10.063,538.2,,,,
324,06/20/19 07:30:00,10.063,667.4,,,,
325,06/20/19 08:00:00,10.063,1076.4,,,,
326,06/20/19 08:30:00,10.063,1033.3,,,,
327,06/20/19 09:00:00,9.965,1259.4,,,,
328,06/20/19 09:30:00,10.063,2238.9,,,,
329,06/20/19 10:00:00,10.063,1345.5,,,,
330,06/20/19 10:30:00,10.161,3272.2,,,,
331,06/20/19 11:00:00,10.161,2755.6,,,,
332,06/20/19 11:30:00,10.161,2755.6,,,,
333,06/20/19 12:00:00,10.063,1636.1,,,,
334,06/20/19 12:30:00,10.161,1808.3,,,,
335,06/20/19 13:00:00,10.063,1173.3,,,,
336,06/20/19 13:30:00,10.063,1550.0,,,,
337,06/20/19 14:00:00,10.161,2411.1,,,,
338,06/20/19 14:30:00,10.259,3961.1,,,,
339,06/20/19 15:00:00,10.161,1808.3,,,,
340,06/20/19 15:30:00,10.161,2927.8,,,,
341,06/20/19 16:00:00,10.357,3961.1,,,,
342,06/20/19 16:30:00,10.357,3444.5,,,,
343,06/20/19 17:00:00,10.161,1550.0,,,,
344,06/20/19 17:30:00,10.259,1463.9,,,,
345,06/20/19 18:00:00,10.259,1722.2,,,,
346,06/20/19 18:30:00,10.161,1463.9,,,,
347,06/20/19 19:00:00,10.161,1054.9,,,,
348,06/20/19 19:30:00,10.161,904.2,,,,
349,06/20/19 20:00:00,10.161,602.8,,,,
350,06/20/19 20:30:00,10.161,333.7,,,,
351,06/20/19 21:00:00,10.063,258.3,,,,
352,06/20/19 21:30:00,10.063,204.5,,,,
353,06/20/19 22:00:00,9.965,86.1,,,,
354,06/20/19 22:30:00,9.965,64.6,,,,
355,06/20/19 23:00:00,9.866,43.1,,,,
356,06/20/19 23:30:00,9.866,53.8,,,,
357,06/21/19 00:00:00,9.866,10.8,,,,
358,06/21/19 00:30:00,9.768,10.8,,,,
359,06/21/19 01:00:00,9.768,10.8,,,,
360,06/21/19 01:30:00,9.768,10.8,,,,
361,06/21/19 02:00:00,9.768,21.5,,,,
362,06/21/19 02:30:00,9.669,32.3,,,,
363,06/21/19 03:00:00,9.669,53.8,,,,
364,06/21/19 03:30:00,9.669,107.6,,,,
365,06/21/19 04:00:00,9.571,139.9,,,,
366,06/21/19 04:30:00,9.571,215.3,,,,
367,06/21/19 05:00:00,9.571,322.9,,,,
368,06/21/19 05:30:00,9.571,430.6,,,,
369,06/21/19 06:00:00,9.571,549.0,,,,
370,06/21/19 06:30:00,9.571,538.2,,,,
371,06/21/19 07:00:00,9.571,527.4,,,,
372,06/21/19 07:30:00,9.571,613.5,,,,
373,06/21/19 08:00:00,9.571,861.1,,,,
374,06/21/19 08:30:00,9.571,1044.1,,,,
375,06/21/19 09:00:00,9.571,1377.8,,,,
376,06/21/19 09:30:00,9.571,1722.2,,,,
377,06/21/19 10:00:00,9.571,2238.9,,,,
378,06/21/19 10:30:00,9.669,2411.1,,,,
379,06/21/19 11:00:00,9.669,3616.7,,,,
380,06/21/19 11:30:00,9.669,2755.6,,,,
