"Plot Title: e3_1m_19Jun221"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10419460, SEN S/N: 10419460, LBL: temp)","Intensity, Lux (LGR S/N: 10419460, SEN S/N: 10419460, LBL: light)","Coupler Attached (LGR S/N: 10419460)","Stopped (LGR S/N: 10419460)","End Of File (LGR S/N: 10419460)"
293,07/01/21 14:00:00,13.942,7233.4,,,
294,07/01/21 15:00:00,14.038,8611.2,,,
295,07/01/21 16:00:00,13.750,5166.7,,,
296,07/01/21 17:00:00,14.421,6200.0,,,
297,07/01/21 18:00:00,14.230,2325.0,,,
298,07/01/21 19:00:00,14.134,2669.5,,,
299,07/01/21 20:00:00,14.038,2411.1,,,
300,07/01/21 21:00:00,14.038,1119.5,,,
301,07/01/21 22:00:00,13.846,398.3,,,
302,07/01/21 23:00:00,13.846,279.9,,,
303,07/02/21 00:00:00,13.750,86.1,,,
304,07/02/21 01:00:00,13.654,21.5,,,
305,07/02/21 02:00:00,13.558,43.1,,,
306,07/02/21 03:00:00,13.654,150.7,,,
307,07/02/21 04:00:00,13.654,441.3,,,
308,07/02/21 05:00:00,13.846,1280.9,,,
309,07/02/21 06:00:00,13.846,2152.8,,,
310,07/02/21 07:00:00,13.846,2755.6,,,
311,07/02/21 08:00:00,14.038,5511.1,,,
312,07/02/21 09:00:00,14.230,9644.5,,,
313,07/02/21 10:00:00,14.325,13777.9,,,
314,07/02/21 11:00:00,14.421,12400.1,,,
315,07/02/21 12:00:00,14.517,8611.2,,,
316,07/02/21 13:00:00,14.804,10677.8,,,
317,07/02/21 14:00:00,14.709,8266.7,,,
318,07/02/21 15:00:00,14.900,13089.0,,,
319,07/02/21 16:00:00,14.996,15155.7,,,
320,07/02/21 17:00:00,15.664,6200.0,,,
321,07/02/21 18:00:00,15.091,6544.5,,,
322,07/02/21 19:00:00,15.091,5166.7,,,
323,07/02/21 20:00:00,14.996,1550.0,,,
324,07/02/21 21:00:00,14.900,1291.7,,,
325,07/02/21 22:00:00,14.900,1011.8,,,
326,07/02/21 23:00:00,14.709,193.8,,,
327,07/03/21 00:00:00,14.709,64.6,,,
328,07/03/21 01:00:00,14.613,32.3,,,
329,07/03/21 02:00:00,14.517,32.3,,,
330,07/03/21 03:00:00,14.517,107.6,,,
331,07/03/21 04:00:00,14.421,419.8,,,
332,07/03/21 05:00:00,14.517,839.6,,,
333,07/03/21 06:00:00,14.613,1550.0,,,
334,07/03/21 07:00:00,14.613,1722.2,,,
335,07/03/21 08:00:00,14.804,3961.1,,,
336,07/03/21 09:00:00,14.900,5166.7,,,
337,07/03/21 10:00:00,15.091,6544.5,,,
338,07/03/21 11:00:00,15.282,10333.4,,,
339,07/03/21 12:00:00,15.378,13777.9,,,
340,07/03/21 13:00:00,15.664,7233.4,,,
341,07/03/21 14:00:00,15.855,10333.4,,,
342,07/03/21 15:00:00,16.237,12400.1,,,
343,07/03/21 16:00:00,16.237,10333.4,,,
344,07/03/21 17:00:00,16.237,3616.7,,,
345,07/03/21 18:00:00,16.332,3616.7,,,
346,07/03/21 19:00:00,16.237,2755.6,,,
347,07/03/21 20:00:00,16.141,1270.1,,,
348,07/03/21 21:00:00,16.141,1065.6,,,
349,07/03/21 22:00:00,16.046,538.2,,,
350,07/03/21 23:00:00,15.951,236.8,,,
351,07/04/21 00:00:00,15.855,96.9,,,
352,07/04/21 01:00:00,15.760,32.3,,,
353,07/04/21 02:00:00,15.664,43.1,,,
354,07/04/21 03:00:00,15.664,86.1,,,
355,07/04/21 04:00:00,15.664,322.9,,,
356,07/04/21 05:00:00,15.664,904.2,,,
357,07/04/21 06:00:00,15.664,1550.0,,,
358,07/04/21 07:00:00,15.760,2497.2,,,
359,07/04/21 08:00:00,15.664,2066.7,,,
360,07/04/21 09:00:00,15.760,2669.5,,,
361,07/04/21 10:00:00,15.855,6200.0,,,
362,07/04/21 11:00:00,16.046,6544.5,,,
363,07/04/21 12:00:00,16.046,5511.1,,,
364,07/04/21 13:00:00,16.427,10677.8,,,
365,07/04/21 14:00:00,16.713,23422.4,,,
366,07/04/21 15:00:00,16.332,8611.2,,,
367,07/04/21 16:00:00,16.808,21355.7,,,
368,07/04/21 17:00:00,16.808,12400.1,,,
369,07/04/21 18:00:00,16.618,7577.8,,,
370,07/04/21 19:00:00,16.713,6544.5,,,
371,07/04/21 20:00:00,16.618,2927.8,,,
372,07/04/21 21:00:00,16.523,1894.5,,,
373,07/04/21 22:00:00,16.427,731.9,,,
374,07/04/21 23:00:00,16.332,226.0,,,
375,07/05/21 00:00:00,16.237,64.6,,,
376,07/05/21 01:00:00,16.141,21.5,,,
377,07/05/21 02:00:00,16.141,21.5,,,
378,07/05/21 03:00:00,16.141,96.9,,,
379,07/05/21 04:00:00,16.046,215.3,,,
380,07/05/21 05:00:00,16.046,495.1,,,
381,07/05/21 06:00:00,16.046,645.8,,,
382,07/05/21 07:00:00,16.141,1463.9,,,
383,07/05/21 08:00:00,16.141,2152.8,,,
384,07/05/21 09:00:00,16.237,2755.6,,,
