"Plot Title: MD_Grim_P_16Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Temperature)","Intensity, Lux (LGR S/N: 10517221, SEN S/N: 10517221, LBL: Light Intensity)","Coupler Attached (LGR S/N: 10517221)","Host Connected (LGR S/N: 10517221)","Stopped (LGR S/N: 10517221)","End Of File (LGR S/N: 10517221)"
201,06/20/19 15:00:00,11.722,7577.8,,,,
202,06/20/19 15:30:00,11.722,9300.1,,,,
203,06/20/19 16:00:00,11.819,9644.5,,,,
204,06/20/19 16:30:00,11.528,4477.8,,,,
205,06/20/19 17:00:00,11.431,3961.1,,,,
206,06/20/19 17:30:00,11.431,4305.6,,,,
207,06/20/19 18:00:00,11.528,4994.5,,,,
208,06/20/19 18:30:00,11.431,4133.4,,,,
209,06/20/19 19:00:00,11.334,3100.0,,,,
210,06/20/19 19:30:00,11.334,2152.8,,,,
211,06/20/19 20:00:00,11.236,1334.7,,,,
212,06/20/19 20:30:00,11.139,1194.8,,,,
213,06/20/19 21:00:00,11.139,1108.7,,,,
214,06/20/19 21:30:00,11.139,925.7,,,,
215,06/20/19 22:00:00,11.041,473.6,,,,
216,06/20/19 22:30:00,11.041,279.9,,,,
217,06/20/19 23:00:00,11.041,279.9,,,,
218,06/20/19 23:30:00,11.041,161.5,,,,
219,06/21/19 00:00:00,11.041,118.4,,,,
220,06/21/19 00:30:00,11.041,86.1,,,,
221,06/21/19 01:00:00,11.041,64.6,,,,
222,06/21/19 01:30:00,10.944,64.6,,,,
223,06/21/19 02:00:00,10.944,64.6,,,,
224,06/21/19 02:30:00,10.944,96.9,,,,
225,06/21/19 03:00:00,10.944,193.8,,,,
226,06/21/19 03:30:00,10.944,333.7,,,,
227,06/21/19 04:00:00,10.944,538.2,,,,
228,06/21/19 04:30:00,10.944,893.4,,,,
229,06/21/19 05:00:00,11.041,1162.5,,,,
230,06/21/19 05:30:00,11.041,1237.9,,,,
231,06/21/19 06:00:00,11.041,1636.1,,,,
232,06/21/19 06:30:00,11.041,1636.1,,,,
233,06/21/19 07:00:00,11.041,1980.6,,,,
234,06/21/19 07:30:00,11.139,2669.5,,,,
235,06/21/19 08:00:00,11.139,3616.7,,,,
236,06/21/19 08:30:00,11.236,4133.4,,,,
237,06/21/19 09:00:00,11.334,4994.5,,,,
238,06/21/19 09:30:00,11.431,6200.0,,,,
239,06/21/19 10:00:00,11.528,7233.4,,,,
240,06/21/19 10:30:00,11.431,5511.1,,,,
241,06/21/19 11:00:00,11.528,7233.4,,,,
242,06/21/19 11:30:00,11.625,6544.5,,,,
243,06/21/19 12:00:00,11.431,6200.0,,,,
244,06/21/19 12:30:00,11.528,7577.8,,,,
245,06/21/19 13:00:00,11.722,10333.4,,,,
246,06/21/19 13:30:00,12.207,14466.8,,,,
247,06/21/19 14:00:00,11.819,11022.3,,,,
248,06/21/19 14:30:00,11.819,10333.4,,,,
249,06/21/19 15:00:00,11.722,7577.8,,,,
250,06/21/19 15:30:00,11.722,10333.4,,,,
251,06/21/19 16:00:00,11.819,5511.1,,,,
252,06/21/19 16:30:00,12.013,14466.8,,,,
253,06/21/19 17:00:00,11.722,6200.0,,,,
254,06/21/19 17:30:00,11.625,4477.8,,,,
255,06/21/19 18:00:00,11.528,5166.7,,,,
256,06/21/19 18:30:00,11.528,8266.7,,,,
257,06/21/19 19:00:00,11.722,6200.0,,,,
258,06/21/19 19:30:00,11.431,3100.0,,,,
259,06/21/19 20:00:00,11.431,3444.5,,,,
260,06/21/19 20:30:00,11.334,1463.9,,,,
261,06/21/19 21:00:00,11.334,1377.8,,,,
262,06/21/19 21:30:00,11.334,1550.0,,,,
263,06/21/19 22:00:00,11.236,968.8,,,,
264,06/21/19 22:30:00,11.236,387.5,,,,
265,06/21/19 23:00:00,11.236,269.1,,,,
266,06/21/19 23:30:00,11.236,150.7,,,,
267,06/22/19 00:00:00,11.236,96.9,,,,
268,06/22/19 00:30:00,11.236,53.8,,,,
269,06/22/19 01:00:00,11.139,21.5,,,,
270,06/22/19 01:30:00,11.139,10.8,,,,
271,06/22/19 02:00:00,11.139,32.3,,,,
272,06/22/19 02:30:00,11.139,43.1,,,,
273,06/22/19 03:00:00,11.139,53.8,,,,
274,06/22/19 03:30:00,11.139,96.9,,,,
275,06/22/19 04:00:00,11.139,193.8,,,,
276,06/22/19 04:30:00,11.041,258.3,,,,
277,06/22/19 05:00:00,11.139,398.3,,,,
278,06/22/19 05:30:00,11.139,1550.0,,,,
279,06/22/19 06:00:00,11.139,925.7,,,,
280,06/22/19 06:30:00,11.236,2066.7,,,,
281,06/22/19 07:00:00,11.139,1377.8,,,,
282,06/22/19 07:30:00,11.334,3272.2,,,,
283,06/22/19 08:00:00,11.431,4133.4,,,,
284,06/22/19 08:30:00,11.528,5511.1,,,,
285,06/22/19 09:00:00,11.528,5511.1,,,,
286,06/22/19 09:30:00,11.625,7233.4,,,,
287,06/22/19 10:00:00,11.722,8266.7,,,,
288,06/22/19 10:30:00,11.625,6200.0,,,,
289,06/22/19 11:00:00,11.819,7577.8,,,,
290,06/22/19 11:30:00,11.819,8266.7,,,,
291,06/22/19 12:00:00,11.916,7577.8,,,,
292,06/22/19 12:30:00,11.819,6200.0,,,,
293,06/22/19 13:00:00,11.916,10677.8,,,,
294,06/22/19 13:30:00,12.304,13777.9,,,,
295,06/22/19 14:00:00,12.690,22044.6,,,,
296,06/22/19 14:30:00,13.076,26178.0,,,,
297,06/22/19 15:00:00,12.594,8266.7,,,,
298,06/22/19 15:30:00,12.110,6200.0,,,,
299,06/22/19 16:00:00,12.594,28933.5,,,,
300,06/22/19 16:30:00,12.690,10677.8,,,,
301,06/22/19 17:00:00,12.594,9644.5,,,,
302,06/22/19 17:30:00,12.401,12400.1,,,,
303,06/22/19 18:00:00,12.594,13089.0,,,,
304,06/22/19 18:30:00,12.401,4822.3,,,,
305,06/22/19 19:00:00,12.207,4477.8,,,,
306,06/22/19 19:30:00,12.110,3961.1,,,,
307,06/22/19 20:00:00,12.013,5511.1,,,,
308,06/22/19 20:30:00,11.916,3100.0,,,,
309,06/22/19 21:00:00,11.819,3961.1,,,,
310,06/22/19 21:30:00,11.722,1463.9,,,,
311,06/22/19 22:00:00,11.722,1367.0,,,,
312,06/22/19 22:30:00,11.722,699.7,,,,
313,06/22/19 23:00:00,11.625,462.9,,,,
314,06/22/19 23:30:00,11.625,301.4,,,,
315,06/23/19 00:00:00,11.528,172.2,,,,
316,06/23/19 00:30:00,11.528,107.6,,,,
317,06/23/19 01:00:00,11.528,86.1,,,,
318,06/23/19 01:30:00,11.528,107.6,,,,
319,06/23/19 02:00:00,11.528,139.9,,,,
320,06/23/19 02:30:00,11.528,236.8,,,,
321,06/23/19 03:00:00,11.431,279.9,,,,
322,06/23/19 03:30:00,11.431,484.4,,,,
323,06/23/19 04:00:00,11.528,1463.9,,,,
324,06/23/19 04:30:00,11.528,1463.9,,,,
325,06/23/19 05:00:00,11.625,3100.0,,,,
326,06/23/19 05:30:00,11.625,3444.5,,,,
327,06/23/19 06:00:00,11.625,5166.7,,,,
328,06/23/19 06:30:00,11.819,5338.9,,,,
329,06/23/19 07:00:00,11.916,11022.3,,,,
330,06/23/19 07:30:00,12.013,7577.8,,,,
331,06/23/19 08:00:00,12.013,5511.1,,,,
332,06/23/19 08:30:00,12.110,4477.8,,,,
333,06/23/19 09:00:00,12.207,5511.1,,,,
334,06/23/19 09:30:00,12.304,8611.2,,,,
335,06/23/19 10:00:00,12.594,12400.1,,,,
336,06/23/19 10:30:00,12.594,8266.7,,,,
337,06/23/19 11:00:00,12.690,6200.0,,,,
338,06/23/19 11:30:00,12.690,22044.6,,,,
339,06/23/19 12:00:00,12.690,8611.2,,,,
340,06/23/19 12:30:00,13.173,27555.7,,,,
341,06/23/19 13:00:00,12.883,9300.1,,,,
342,06/23/19 13:30:00,13.173,15844.5,,,,
343,06/23/19 14:00:00,12.980,30311.3,,,,
344,06/23/19 14:30:00,13.173,35822.5,,,,
345,06/23/19 15:00:00,13.076,23422.4,,,,
346,06/23/19 15:30:00,13.076,22044.6,,,,
347,06/23/19 16:00:00,12.883,7577.8,,,,
348,06/23/19 16:30:00,13.269,24800.2,,,,
349,06/23/19 17:00:00,13.269,28933.5,,,,
350,06/23/19 17:30:00,13.365,16533.4,,,,
351,06/23/19 18:00:00,12.883,5166.7,,,,
352,06/23/19 18:30:00,13.076,28933.5,,,,
353,06/23/19 19:00:00,12.980,3961.1,,,,
354,06/23/19 19:30:00,12.883,3616.7,,,,
355,06/23/19 20:00:00,12.883,2152.8,,,,
356,06/23/19 20:30:00,12.787,2583.4,,,,
357,06/23/19 21:00:00,13.076,2325.0,,,,
358,06/23/19 21:30:00,12.980,1184.0,,,,
359,06/23/19 22:00:00,12.883,742.7,,,,
360,06/23/19 22:30:00,12.787,699.7,,,,
361,06/23/19 23:00:00,12.690,387.5,,,,
362,06/23/19 23:30:00,12.690,193.8,,,,
363,06/24/19 00:00:00,12.594,107.6,,,,
364,06/24/19 00:30:00,12.594,53.8,,,,
365,06/24/19 01:00:00,12.497,43.1,,,,
366,06/24/19 01:30:00,12.497,64.6,,,,
367,06/24/19 02:00:00,12.497,96.9,,,,
368,06/24/19 02:30:00,12.497,139.9,,,,
369,06/24/19 03:00:00,12.401,161.5,,,,
370,06/24/19 03:30:00,12.401,495.1,,,,
