Plot Title: Reyk_Pelagic_17Jul18								
#	"Date Time, GMT+00:00"	"Temp, °C (LGR S/N: 10349970, SEN S/N: 10349970)"	"Intensity, Lux (LGR S/N: 10349970, SEN S/N: 10349970)"	Coupler Attached (LGR S/N: 10349970)	Coupler Detached (LGR S/N: 10349970)	Host Connected (LGR S/N: 10349970)	Stopped (LGR S/N: 10349970)	End Of File (LGR S/N: 10349970)
385	7/21/2018 11:00	13.75	355.2					
386	7/21/2018 11:15	13.75	193.8					
387	7/21/2018 11:30	13.75	150.7					
388	7/21/2018 11:45	13.75	215.3					
389	7/21/2018 12:00	13.75	172.2					
390	7/21/2018 12:15	13.75	172.2					
391	7/21/2018 12:30	13.75	183					
392	7/21/2018 12:45	13.846	204.5					
393	7/21/2018 13:00	13.846	236.8					
394	7/21/2018 13:15	13.846	279.9					
395	7/21/2018 13:30	13.846	301.4					
396	7/21/2018 13:45	13.846	129.2					
397	7/21/2018 14:00	13.942	96.9					
398	7/21/2018 14:15	14.038	64.6					
399	7/21/2018 14:30	14.038	53.8					
400	7/21/2018 14:45	13.942	43.1					
401	7/21/2018 15:00	13.846	107.6					
402	7/21/2018 15:15	13.846	53.8					
403	7/21/2018 15:30	13.846	96.9					
404	7/21/2018 15:45	13.846	64.6					
405	7/21/2018 16:00	13.75	64.6					
406	7/21/2018 16:15	13.75	86.1					
407	7/21/2018 16:30	13.75	86.1					
408	7/21/2018 16:45	13.75	53.8					
409	7/21/2018 17:00	13.75	43.1					
410	7/21/2018 17:15	14.23	64.6					
411	7/21/2018 17:30	14.23	215.3					
412	7/21/2018 17:45	14.23	96.9					
413	7/21/2018 18:00	14.134	139.9					
414	7/21/2018 18:15	14.134	215.3					
415	7/21/2018 18:30	14.038	322.9					
416	7/21/2018 18:45	14.038	355.2					
417	7/21/2018 19:00	14.038	258.3					
418	7/21/2018 19:15	14.038	269.1					
419	7/21/2018 19:30	14.038	258.3					
420	7/21/2018 19:45	14.038	322.9					
421	7/21/2018 20:00	14.038	226					
422	7/21/2018 20:15	14.038	279.9					
423	7/21/2018 20:30	14.038	183					
424	7/21/2018 20:45	13.942	193.8					
425	7/21/2018 21:00	14.038	64.6					
426	7/21/2018 21:15	14.038	32.3					
427	7/21/2018 21:30	14.134	21.5					
428	7/21/2018 21:45	14.134	10.8					
429	7/21/2018 22:00	14.134	10.8					
430	7/21/2018 22:15	14.134	0					
431	7/21/2018 22:30	14.134	0					
432	7/21/2018 22:45	14.134	0					
433	7/21/2018 23:00	14.038	0					
434	7/21/2018 23:15	14.134	0					
435	7/21/2018 23:30	14.134	0					
436	7/21/2018 23:45	14.038	0					
437	7/22/2018 0:00	14.038	0					
438	7/22/2018 0:15	14.038	0					
439	7/22/2018 0:30	14.038	0					
440	7/22/2018 0:45	14.038	0					
441	7/22/2018 1:00	14.038	0					
442	7/22/2018 1:15	14.038	0					
443	7/22/2018 1:30	14.038	0					
444	7/22/2018 1:45	14.038	0					
445	7/22/2018 2:00	14.038	0					
446	7/22/2018 2:15	14.038	0					
447	7/22/2018 2:30	14.038	0					
448	7/22/2018 2:45	14.038	0					
449	7/22/2018 3:00	14.134	0					
450	7/22/2018 3:15	14.134	0					
451	7/22/2018 3:30	14.134	0					
452	7/22/2018 3:45	14.038	0					
453	7/22/2018 4:00	14.038	0					
454	7/22/2018 4:15	14.038	0					
455	7/22/2018 4:30	14.038	0					
456	7/22/2018 4:45	14.134	32.3					
457	7/22/2018 5:00	14.134	53.8					
458	7/22/2018 5:15	14.038	43.1					
459	7/22/2018 5:30	14.038	75.3					
460	7/22/2018 5:45	14.038	86.1					
461	7/22/2018 6:00	14.038	96.9					
462	7/22/2018 6:15	14.038	96.9					
463	7/22/2018 6:30	14.038	86.1					
464	7/22/2018 6:45	14.134	75.3					
465	7/22/2018 7:00	14.134	107.6					
466	7/22/2018 7:15	14.134	107.6					
467	7/22/2018 7:30	14.23	150.7					
468	7/22/2018 7:45	14.23	139.9					
469	7/22/2018 8:00	14.23	150.7					
470	7/22/2018 8:15	14.23	139.9					
471	7/22/2018 8:30	14.134	150.7					
472	7/22/2018 8:45	14.134	139.9					
473	7/22/2018 9:00	14.134	118.4					
474	7/22/2018 9:15	14.134	204.5					
475	7/22/2018 9:30	14.134	236.8					
476	7/22/2018 9:45	14.134	183					
477	7/22/2018 10:00	14.134	172.2					
478	7/22/2018 10:15	14.134	193.8					
479	7/22/2018 10:30	14.134	183					
480	7/22/2018 10:45	14.134	107.6					
481	7/22/2018 11:00	14.134	32.3					
482	7/22/2018 11:15	14.134	64.6					
483	7/22/2018 11:30	14.134	226					
484	7/22/2018 11:45	14.134	172.2					
485	7/22/2018 12:00	14.134	236.8					
