"Plot Title: MD_E6_Pel_29Jul20"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Temp)","Intensity, Lux (LGR S/N: 10517216, SEN S/N: 10517216, LBL: Light)","Good Battery (LGR S/N: 10517216)","Coupler Attached (LGR S/N: 10517216)","Host Connected (LGR S/N: 10517216)","Stopped (LGR S/N: 10517216)","End Of File (LGR S/N: 10517216)"
311,08/04/20 23:00:00,10.944,0.0,,,,,
312,08/04/20 23:30:00,10.748,0.0,,,,,
313,08/05/20 00:00:00,10.846,0.0,,,,,
314,08/05/20 00:30:00,10.846,0.0,,,,,
315,08/05/20 01:00:00,10.846,0.0,,,,,
316,08/05/20 01:30:00,10.846,0.0,,,,,
317,08/05/20 02:00:00,10.748,0.0,,,,,
318,08/05/20 02:30:00,10.846,0.0,,,,,
319,08/05/20 03:00:00,10.748,0.0,,,,,
320,08/05/20 03:30:00,10.748,0.0,,,,,
321,08/05/20 04:00:00,10.748,0.0,,,,,
322,08/05/20 04:30:00,10.748,0.0,,,,,
323,08/05/20 05:00:00,10.748,0.0,,,,,
324,08/05/20 05:30:00,10.748,10.8,,,,,
325,08/05/20 06:00:00,10.748,21.5,,,,,
326,08/05/20 06:30:00,10.748,64.6,,,,,
327,08/05/20 07:00:00,10.651,150.7,,,,,
328,08/05/20 07:30:00,10.651,322.9,,,,,
329,08/05/20 08:00:00,10.651,129.2,,,,,
330,08/05/20 08:30:00,10.553,301.4,,,,,
331,08/05/20 09:00:00,10.651,322.9,,,,,
332,08/05/20 09:30:00,10.651,301.4,,,,,
333,08/05/20 10:00:00,10.651,236.8,,,,,
334,08/05/20 10:30:00,10.651,430.6,,,,,
335,08/05/20 11:00:00,10.651,279.9,,,,,
336,08/05/20 11:30:00,11.334,312.2,,,,,
337,08/05/20 12:00:00,11.236,570.5,,,,,
338,08/05/20 12:30:00,11.139,1216.3,,,,,
339,08/05/20 13:00:00,11.334,1356.3,,,,,
340,08/05/20 13:30:00,11.431,2411.1,,,,,
341,08/05/20 14:00:00,11.625,3100.0,,,,,
342,08/05/20 14:30:00,11.722,2066.7,,,,,
343,08/05/20 15:00:00,11.819,1894.5,,,,,
344,08/05/20 15:30:00,11.819,1377.8,,,,,
345,08/05/20 16:00:00,11.916,4133.4,,,,,
346,08/05/20 16:30:00,12.013,4133.4,,,,,
347,08/05/20 17:00:00,12.013,2927.8,,,,,
348,08/05/20 17:30:00,12.013,958.0,,,,,
349,08/05/20 18:00:00,12.013,1259.4,,,,,
350,08/05/20 18:30:00,12.013,398.3,,,,,
351,08/05/20 19:00:00,12.013,398.3,,,,,
352,08/05/20 19:30:00,11.916,462.9,,,,,
353,08/05/20 20:00:00,11.916,301.4,,,,,
354,08/05/20 20:30:00,11.819,183.0,,,,,
355,08/05/20 21:00:00,11.819,129.2,,,,,
356,08/05/20 21:30:00,11.819,43.1,,,,,
