Plot Title: SONDE_20July20,,,,,,,
#,"Date Time, ADJUSTED","Temp, °C (LGR S/N: 10349963, SEN S/N: 10349963)","Intensity, Lux (LGR S/N: 10349963, SEN S/N: 10349963)",Host Connected (LGR S/N: 10349963),Coupler Attached (LGR S/N: 10349963),Stopped (LGR S/N: 10349963),End Of File (LGR S/N: 10349963)
304,7/26/2020 21:30,7.079,1980.6,,,,
305,7/26/2020 22:00,6.674,1550,,,,
306,7/26/2020 22:30,6.471,742.7,,,,
307,7/26/2020 23:00,6.37,344.4,,,,
308,7/26/2020 23:30,6.674,129.2,,,,
309,7/27/2020 0:00,6.166,43.1,,,,
310,7/27/2020 0:30,5.962,10.8,,,,
311,7/27/2020 1:00,5.757,0,,,,
312,7/27/2020 1:30,5.45,0,,,,
313,7/27/2020 2:00,5.037,21.5,,,,
314,7/27/2020 2:30,5.244,64.6,,,,
315,7/27/2020 3:00,5.141,118.4,,,,
316,7/27/2020 3:30,5.141,376.7,,,,
317,7/27/2020 4:00,5.347,570.5,,,,
318,7/27/2020 4:30,5.347,1313.2,,,,
319,7/27/2020 5:00,5.45,3100,,,,
320,7/27/2020 5:30,5.552,4305.6,,,,
321,7/27/2020 6:00,6.166,9644.5,,,,
322,7/27/2020 6:30,6.268,7233.4,,,,
323,7/27/2020 7:00,6.37,10333.4,,,,
324,7/27/2020 7:30,6.471,6544.5,,,,
325,7/27/2020 8:00,6.471,9644.5,,,,
326,7/27/2020 8:30,6.471,8266.7,,,,
327,7/27/2020 9:00,6.573,17911.2,,,,
328,7/27/2020 9:30,7.079,20666.8,,,,
329,7/27/2020 10:00,7.481,22044.6,,,,
330,7/27/2020 10:30,9.669,57867,,,,
331,7/27/2020 11:00,10.357,79911.6,,,,
332,7/27/2020 11:30,10.846,55111.5,,,,
333,7/27/2020 12:00,13.461,126756.4,,,,
334,7/27/2020 12:30,12.207,198401.3,,,,
335,7/27/2020 13:00,12.401,220445.9,,,,
336,7/27/2020 13:30,11.528,99200.7,,,,
337,7/27/2020 14:00,11.722,143289.8,,,,
338,7/27/2020 14:30,12.11,82667.2,,,,
339,7/27/2020 15:00,11.431,66133.8,,,,
