"Plot Title: MD_E5Pel_13Jun19"
"#","Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Temp)","Intensity, Lux (LGR S/N: 10517219, SEN S/N: 10517219, LBL: Light)","Coupler Attached (LGR S/N: 10517219)","Coupler Detached (LGR S/N: 10517219)","Host Connected (LGR S/N: 10517219)","Stopped (LGR S/N: 10517219)","End Of File (LGR S/N: 10517219)"
193,06/17/19 14:00:00,13.558,7233.4,,,,,
194,06/17/19 14:30:00,13.461,4133.4,,,,,
195,06/17/19 15:00:00,13.365,3272.2,,,,,
196,06/17/19 15:30:00,13.269,2411.1,,,,,
197,06/17/19 16:00:00,13.365,3100.0,,,,,
198,06/17/19 16:30:00,13.269,2927.8,,,,,
199,06/17/19 17:00:00,13.076,1894.5,,,,,
200,06/17/19 17:30:00,12.980,2497.2,,,,,
201,06/17/19 18:00:00,13.076,2755.6,,,,,
202,06/17/19 18:30:00,12.980,1808.3,,,,,
203,06/17/19 19:00:00,12.980,2497.2,,,,,
204,06/17/19 19:30:00,12.980,1808.3,,,,,
205,06/17/19 20:00:00,12.883,1377.8,,,,,
206,06/17/19 20:30:00,12.883,1227.1,,,,,
207,06/17/19 21:00:00,12.787,893.4,,,,,
208,06/17/19 21:30:00,12.690,538.2,,,,,
209,06/17/19 22:00:00,12.690,462.9,,,,,
210,06/17/19 22:30:00,12.594,441.3,,,,,
211,06/17/19 23:00:00,12.497,247.6,,,,,
212,06/17/19 23:30:00,12.401,75.3,,,,,
213,06/18/19 00:00:00,12.304,53.8,,,,,
214,06/18/19 00:30:00,12.304,21.5,,,,,
215,06/18/19 01:00:00,12.304,32.3,,,,,
216,06/18/19 01:30:00,12.207,10.8,,,,,
217,06/18/19 02:00:00,12.207,43.1,,,,,
218,06/18/19 02:30:00,12.110,64.6,,,,,
219,06/18/19 03:00:00,12.110,64.6,,,,,
220,06/18/19 03:30:00,12.110,75.3,,,,,
221,06/18/19 04:00:00,12.013,290.6,,,,,
222,06/18/19 04:30:00,11.916,279.9,,,,,
223,06/18/19 05:00:00,11.916,516.7,,,,,
224,06/18/19 05:30:00,11.916,979.5,,,,,
225,06/18/19 06:00:00,12.013,1808.3,,,,,
226,06/18/19 06:30:00,11.916,1722.2,,,,,
227,06/18/19 07:00:00,11.916,2927.8,,,,,
228,06/18/19 07:30:00,12.013,4477.8,,,,,
229,06/18/19 08:00:00,12.110,5511.1,,,,,
230,06/18/19 08:30:00,11.916,5166.7,,,,,
231,06/18/19 09:00:00,11.916,5166.7,,,,,
232,06/18/19 09:30:00,11.819,7577.8,,,,,
233,06/18/19 10:00:00,11.722,7577.8,,,,,
234,06/18/19 10:30:00,11.625,5166.7,,,,,
235,06/18/19 11:00:00,11.819,8266.7,,,,,
236,06/18/19 11:30:00,11.722,6544.5,,,,,
237,06/18/19 12:00:00,11.819,9300.1,,,,,
238,06/18/19 12:30:00,11.916,8611.2,,,,,
239,06/18/19 13:00:00,11.916,8611.2,,,,,
240,06/18/19 13:30:00,12.013,11022.3,,,,,
241,06/18/19 14:00:00,11.819,8266.7,,,,,
242,06/18/19 14:30:00,11.722,5511.1,,,,,
243,06/18/19 15:00:00,11.625,6544.5,,,,,
244,06/18/19 15:30:00,11.625,4305.6,,,,,
245,06/18/19 16:00:00,11.625,8611.2,,,,,
246,06/18/19 16:30:00,11.528,6200.0,,,,,
247,06/18/19 17:00:00,11.528,7233.4,,,,,
248,06/18/19 17:30:00,11.334,2755.6,,,,,
249,06/18/19 18:00:00,11.139,3788.9,,,,,
250,06/18/19 18:30:00,10.846,2411.1,,,,,
251,06/18/19 19:00:00,10.553,1463.9,,,,,
252,06/18/19 19:30:00,10.357,1980.6,,,,,
253,06/18/19 20:00:00,10.161,1227.1,,,,,
254,06/18/19 20:30:00,9.965,1636.1,,,,,
255,06/18/19 21:00:00,9.866,1270.1,,,,,
256,06/18/19 21:30:00,9.768,936.5,,,,,
257,06/18/19 22:00:00,9.866,742.7,,,,,
258,06/18/19 22:30:00,9.965,312.2,,,,,
259,06/18/19 23:00:00,9.965,172.2,,,,,
260,06/18/19 23:30:00,9.866,129.2,,,,,
261,06/19/19 00:00:00,10.063,86.1,,,,,
262,06/19/19 00:30:00,10.063,43.1,,,,,
263,06/19/19 01:00:00,9.965,53.8,,,,,
264,06/19/19 01:30:00,9.965,64.6,,,,,
265,06/19/19 02:00:00,9.965,21.5,,,,,
266,06/19/19 02:30:00,9.866,107.6,,,,,
267,06/19/19 03:00:00,9.965,172.2,,,,,
268,06/19/19 03:30:00,9.866,193.8,,,,,
269,06/19/19 04:00:00,9.866,258.3,,,,,
270,06/19/19 04:30:00,9.866,301.4,,,,,
271,06/19/19 05:00:00,9.768,398.3,,,,,
272,06/19/19 05:30:00,9.768,635.1,,,,,
273,06/19/19 06:00:00,9.768,893.4,,,,,
274,06/19/19 06:30:00,9.768,1550.0,,,,,
275,06/19/19 07:00:00,9.866,1722.2,,,,,
276,06/19/19 07:30:00,9.768,2411.1,,,,,
277,06/19/19 08:00:00,9.768,5166.7,,,,,
278,06/19/19 08:30:00,9.866,5166.7,,,,,
279,06/19/19 09:00:00,10.063,10677.8,,,,,
280,06/19/19 09:30:00,9.866,2755.6,,,,,
281,06/19/19 10:00:00,9.866,4477.8,,,,,
282,06/19/19 10:30:00,9.866,5511.1,,,,,
283,06/19/19 11:00:00,9.965,8266.7,,,,,
284,06/19/19 11:30:00,9.866,6200.0,,,,,
285,06/19/19 12:00:00,10.063,12400.1,,,,,
286,06/19/19 12:30:00,10.063,10677.8,,,,,
287,06/19/19 13:00:00,10.063,13777.9,,,,,
288,06/19/19 13:30:00,9.866,6200.0,,,,,
289,06/19/19 14:00:00,9.965,8611.2,,,,,
290,06/19/19 14:30:00,9.768,5511.1,,,,,
291,06/19/19 15:00:00,9.669,5511.1,,,,,
292,06/19/19 15:30:00,9.571,4650.0,,,,,
293,06/19/19 16:00:00,9.768,6200.0,,,,,
294,06/19/19 16:30:00,9.866,8611.2,,,,,
295,06/19/19 17:00:00,9.768,6544.5,,,,,
296,06/19/19 17:30:00,9.866,11022.3,,,,,
297,06/19/19 18:00:00,9.866,9300.1,,,,,
298,06/19/19 18:30:00,9.669,3961.1,,,,,
299,06/19/19 19:00:00,9.669,2927.8,,,,,
300,06/19/19 19:30:00,9.866,2755.6,,,,,
